product_name,html_path,resource_path,image_filenames,plain_description,enriched_description,tags,item_type,suggested_projects,parts_count_guess,part_count_estimate_llm,price
Heavy Duty Kraft Bookbinding Board,C:\Users\Royma\Downloads\Temu Items 2\heavy duty bookbinding board 60pt thick chipboard - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\heavy duty bookbinding board 60pt thick chipboard - Temu_files,"1fdaa76c-af6b-11ee-b389-0a580a69f0b5.jpg, 20de64d5-0872-4995-be57-374543c8a567(1).jpg, 20de64d5-0872-4995-be57-374543c8a567.jpg, 36be7b34-af6b-11ee-9217-0a580a68309d.jpg, 398e80d6-af72-4431-a3b7-e0ddc349e752_300x300.jpeg, 3d7d6700-af6b-11ee-b389-0a580a69f0b5.jpg, 4da0f390-af6b-11ee-91ee-0a580a69f0b5(1).jpg, 4da0f390-af6b-11ee-91ee-0a580a69f0b5.jpg, 5509f65e-af6b-11ee-b389-0a580a69f0b5.jpg, 622b6a3e-af6b-11ee-9217-0a580a68309d.jpg, 72576d87-751a-443d-862d-b1739154abaf(1).jpg, 72576d87-751a-443d-862d-b1739154abaf.jpg, 86cb13d5-3050-4a1d-9864-a9e7f8cab6d2(1).jpg, 86cb13d5-3050-4a1d-9864-a9e7f8cab6d2.jpg, d8fd1d7c-76c3-47e2-877c-123d6d07a8e6(1).jpg, d8fd1d7c-76c3-47e2-877c-123d6d07a8e6.jpg, eb453e59-f8f5-4bd0-b3ab-f70770cca1a2.jpg","5pcs Heavy Duty Kraft Bookbinding Board, 60pt Thick Chipboard Sheets for DIY Covers, Scrapbooking & Picture Frames - Matte Finish, Recyclable | Material : Paper Brand : obestda Item ID : CR60800 Copy See all details","This set of 5 heavy-duty kraft bookbinding boards is perfect for creating durable covers for your DIY projects. With a thickness of 60pt, these chipboard sheets provide excellent support for scrapbooking, picture frames, and other creative endeavors. The matte finish ensures a professional look while being recyclable, making it an eco-friendly choice for your crafts. Ideal for microcontroller projects that require custom enclosures or mounting surfaces, these boards can be easily cut and shaped to fit your needs.","bookbinding, kraft board, chipboard, scrapbooking, diy projects, recyclable, heavy duty, matte finish",crafting material,"custom enclosures, scrapbook covers, picture frames, DIY journals, model making",5,5 sheets,Est.₪20.25
Heavy Duty Cable Zip Ties,C:\Users\Royma\Downloads\Temu Items 2\heavy duty cable zip ties tensile strength self locking - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\heavy duty cable zip ties tensile strength self locking - Temu_files,"040b500b74e500ea5fde308a24cd1298(1).jpg, 040b500b74e500ea5fde308a24cd1298.jpg, 0e36fed8ccf8a5c79e7c89c32833a991.jpg, 114a854651da8ff933735760e0299783(1).jpg, 114a854651da8ff933735760e0299783.jpg, 186730ce2b3f1972447ffda45e6176b4(1).jpg, 186730ce2b3f1972447ffda45e6176b4.jpg, 51fd66ec1e3f07602713c0af55cb940c(1).jpg, 51fd66ec1e3f07602713c0af55cb940c.jpg, 52dc89ad080bb5571d2ed6908cee3c5f.jpg, 682275f4-28a4-4414-8028-4fbd5ee76e9c_300x300.jpeg, bc8443c453c022fd82b0c5f9ca005b33.jpg, dd95366a694feb05b89616288c7a169b.jpg, e5aad6ae0628c8c91ea6e29c76cfbaa2.jpg, eb27c82f2148d9ed41d2818243f0d63e.jpg, fba8fe62c490cd3d03af056786cde5f7(1).jpg, fba8fe62c490cd3d03af056786cde5f7.jpg, ff4593ed-365c-41fc-8eb9-0c33e21075ae.png.slim.png","250pcs Heavy Duty Cable Zip Ties - 10.16-25.4 cm, 22.68 KG Tensile Strength - Self-Locking Black Nylon for Secure Indoor & Outdoor Use | Material : Nylon Item ID : DD24356 Copy Origin : Guangdong,China","These heavy-duty cable zip ties are perfect for organizing and securing wires in your DIY electronics projects. With a tensile strength of 22.68 KG, they can handle both indoor and outdoor applications, ensuring your setups remain tidy and safe. Made from durable black nylon, these self-locking ties are resistant to wear and tear, making them ideal for long-term use. Whether you're building a prototype or managing cables in a finished project, these zip ties are an essential addition to your toolkit.","cable management, zip ties, nylon, heavy duty, electronics, diy, organization, outdoor, indoor, secure",cable ties,"wire organization, prototype assembly, cable management, outdoor electronics setup",250,250,₪16.24
High-Torque JGA25-370 DC Motor,C:\Users\Royma\Downloads\Temu Items 2\high torque jga25 370 motor 6v 12v 24v options durable - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\high torque jga25 370 motor 6v 12v 24v options durable - Temu_files,"27dce236b7f070caf9efb01198118998(1).jpg, 27dce236b7f070caf9efb01198118998.jpg, 46939254-3e6b-11ee-9f87-0a580a6929c3.jpg, 4f4fdb08-a0cc-4c74-97f2-f0c417970151.jpg, 74d96a178d9f0ea6227159eac16c39e2.jpg, 83e0f9914623568969d912d4ecec11bf.jpg, 93a660f4-1335-4e8b-b3c3-5387fee4c876_300x300.jpeg, 96d4c45d-de6b-473e-a80b-0960392c5d9c_800x800(1).jpeg, 96d4c45d-de6b-473e-a80b-0960392c5d9c_800x800.jpeg, 9ff6ba0e-3e68-11ee-a5e1-0a580a69767f.jpg, a107f328cfef760d262eeed637549c56.jpg, b9f1dc50bdaf2342906795724d57fb10.jpg, d28b39e0-a4f8-44a5-b9d7-d62d69b5d996_800x179.jpeg, ea0349ad564681a73680076c11fe038d(1).jpg, ea0349ad564681a73680076c11fe038d.jpg, f085dc2e-8766-4adb-9013-6b4548b7008f_800x800.jpeg","High-Torque JGA25-370 DC Motor - 6V, 12V, 24V Options, Durable Metal Gearbox, 12/60/280/620/1360rpm, 9kg.CM, 25mm Diameter, for DIY Projects & Robotics | Power Mode : Room electrical/hard wiring Operating Voltage : ≤36V Battery Properties : Without Battery See all details and dimensions | Specifications: Rated Voltage: DC 12V No-load Speed: 12rpm, 60rpm, 280rpm, 620rpm, 1360rpm Max Power: 3W Max Torque: 9KG.CM Motor Diameter: 25mm Shaft diameter: 4mm, D type Shaft length: 12mm","The High-Torque JGA25-370 DC Motor is an excellent choice for your DIY robotics and automation projects. With a durable metal gearbox and multiple speed options ranging from 12 to 1360 RPM, this motor can handle various tasks requiring significant torque. Its compact design features a 25mm diameter and a D-type shaft, making it easy to integrate into your designs. Operating at voltages up to 36V, this motor provides reliable performance for both hobbyists and professionals alike. Ideal for applications in robotics, conveyor systems, and more.","dc motor, high torque, robotics, diy projects, metal gearbox, 12v motor, automation, electronics, motor control, embedded systems",DC motor,"robotic arms, automated vehicles, conveyor belts, hobbyist robots, motion control systems",,1,₪18.97
Silicone Finger Protectors for Hot Glue,C:\Users\Royma\Downloads\Temu Items 2\hot gun finger protectors silicone finger protectors - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\hot gun finger protectors silicone finger protectors - Temu_files,"0b77a1c4-e688-47d1-9918-c5da89d19ce6_1439x1500.jpeg, 1567fe92bf154626c88585e29946cd1e.jpg, 2b253b02-df2c-4968-8c2f-c1f25bac474a_300x300.jpeg, 3add8ea13b81b27d6d67b28fe72306fe(1).jpg, 3add8ea13b81b27d6d67b28fe72306fe.jpg, 85fa6fc32a4e5dd0cfc8766d4dfd41e3.jpg, 8a6742dc01b951f2105dc35d0f76288e(1).jpg, 8a6742dc01b951f2105dc35d0f76288e.jpg, b011b30376f660bd722cf1a0b75baf50.jpg, bf850285a5c1b722e5979431d34ab3b0.jpg, c142b485-7be3-43b0-9591-8ea1965847f2_800x800(1).jpeg, c142b485-7be3-43b0-9591-8ea1965847f2_800x800.jpeg, ec6cab07-be9a-4acc-a622-f1e787c44aae_1500x1491.jpeg, f3f7ff88-ccf4-4938-b06f-7457023cd8bf_800x800.jpeg, f77b1756-babd-4653-a268-56969a0f0284_800x800.jpeg","3pcs, Hot Glue Gun Finger Protectors, Silicone Finger Protectors, Finger Protectors, Finger Protectors For Hot Glue, Silicone Thimble, Hot Glue Finger Protectors, Finger Guard","These silicone finger protectors are essential for any DIY enthusiast working with hot glue. They provide a safe barrier against burns and allow for precise application without the risk of injury. Designed for comfort and flexibility, these protectors can be used repeatedly, making them a sustainable choice for your crafting needs. Ideal for projects involving electronics, crafts, and repairs, they ensure your fingers stay safe while you focus on your work.","silicone, finger protectors, hot glue, crafting, diy, safety, electronics, thimble, reusable",safety accessories,"electronics assembly, craft projects, model building, home repairs",3,3 pieces,
L298N Motor Driver Module,C:\Users\Royma\Downloads\Temu Items 2\l298n control board module stepper motor - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\l298n control board module stepper motor - Temu_files,"00810550-136e-458b-a149-6a567a273699(1).jpg, 00810550-136e-458b-a149-6a567a273699.jpg, 1a84d8c2-8a95-4a82-88d3-4392c1dc19fb.jpg, 4ce4e4e8-7a5f-40fa-9df2-3aade9438493(1).jpg, 4ce4e4e8-7a5f-40fa-9df2-3aade9438493.jpg, 9fa36b87-beac-4dcb-9643-ccd6db44f58b.jpg, b4f3ea82-8593-4d23-ad74-f024593dbf42_300x300.jpeg, bebcd0a8-a8db-4c3d-a8e6-42aedd40f1dc(1).jpg, bebcd0a8-a8db-4c3d-a8e6-42aedd40f1dc.jpg, d04cfde4-bfc9-410f-8888-a44dd38113d2.jpg, da75722f-a52f-4a9d-ad34-26fe0d419463.jpg","1pc/4pcs L298N Motor Driver Control Board Module Stepper Motor DC Dual H Bridge Arduino Smart Car Power Supply UNO MEGA R3 Mega2560 | Battery Properties : Without Battery Power Mode : Room electrical/hard wiring Operating Voltage : ≤36V See all details and dimensions | Main control component: L298N Operating mode: H-bridge drive (dual) Logic voltage: 5V Logic current: 0~36mA Driving voltage: 5~35V, if you need to take power from the board, then the power supply range 7V~35V Driving current: 2A Storage temperature: -20°C to +135°C Power: ≤25W Control signal input voltage range: low level -0.3V≤vin≤1.5V, high level: 2.3V≤vin≤Vss Input voltage range of convenience signal: low level -0.3V≤vin≤1.5V (signal is invalid), high level: 2.3V≤vin≤Vss (signal is valid)","The L298N Motor Driver Control Board is an essential component for driving DC motors and stepper motors in your DIY robotics projects. With dual H-bridge capability, it allows for bidirectional control of motors, making it ideal for applications like smart cars or automated systems. This module operates with a logic voltage of 5V and can handle driving voltages up to 35V, providing flexibility for various power supply configurations. Its robust design supports a driving current of up to 2A, ensuring reliable performance in demanding applications. Integrate this module into your microcontroller projects to bring your creations to life with precise motor control.","motor driver, l298n, h-bridge, robotics, arduino, electronics, motor control, diy, embedded systems",motor driver module,"smart car, automated robot, remote-controlled vehicle, conveyor belt system",1,1,₪27.29
L298N Motor Driver Module,C:\Users\Royma\Downloads\Temu Items 2\l298n controller board module stepper motor - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\l298n controller board module stepper motor - Temu_files,"335ecb78587d92f1811c3953b8a0c0f3(1).jpg, 335ecb78587d92f1811c3953b8a0c0f3.jpg, 6cb5af09241a43cad8059e11fd9b2b5c.jpg, 7129f638d4558406f7f2bce3b707debb(1).jpg, 7129f638d4558406f7f2bce3b707debb.jpg, 78f366b5-757f-4115-ba70-fdc194c1788a_300x300.jpeg, a28c6d74ec92e6fa73101ba32b891d0c(1).jpg, a28c6d74ec92e6fa73101ba32b891d0c.jpg, d3dd1ce51fd7af18e6f707820d0dbe67(1).jpg, d3dd1ce51fd7af18e6f707820d0dbe67.jpg",4pcs L298N Motor Driver Controller Board Module Stepper Motor DC Dual H-Bridge For Arduino Smart Car Power MEGA R3 Mega 2560 | Material : Plastic Brand : FUSUPI Battery Properties : Without Battery See all details and dimensions | Specification: Chip: ST L298N dual H-bridge driver chip Logic voltage: 5V Logic current 0mA-36mA Storage Temperature: -20 ¡æ to +135 ¡æ Operating mode: H-bridge driver (dual) Drive voltage: 5V-35V Drive current: 2A (MAX single bridge) Maximum power: 25W,"The L298N Motor Driver Module is an essential component for controlling DC motors and stepper motors in your DIY robotics projects. With its dual H-bridge configuration, it allows for bidirectional control of motors, making it ideal for applications like smart cars and robotic arms. The module operates with a logic voltage of 5V and can handle a drive voltage of 5V to 35V, supporting up to 2A per bridge. This makes it a versatile choice for various motor control tasks in your microcontroller or embedded systems projects.","motor driver, l298n, robotics, arduino, embedded systems, dc motor, stepper motor, h-bridge, electronics, diy",motor driver module,"smart car, robotic arm, automated conveyor, remote-controlled vehicle, home automation system",4,4,₪23.60
Large Transparent Storage Box,C:\Users\Royma\Downloads\Temu Items 2\large transparent thickened fixed grid plastic storage box - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\large transparent thickened fixed grid plastic storage box - Temu_files,"40e31c25d55c04dd473525181b59c844.jpg, 4af2a00158163d183e4b3576dc9263be(1).jpg, 4af2a00158163d183e4b3576dc9263be.jpg, 6b3833ecb38719733bbf79b2711112cc.jpg, 92e220357f79f2858131a990a7e5c14c(1).jpg, 92e220357f79f2858131a990a7e5c14c.jpg, 938aecfe-c495-4ec6-9619-4124e3a9c1ba_300x300.jpeg, ce1aca5f1b35bfcca24703915d4c609a(1).jpg, ce1aca5f1b35bfcca24703915d4c609a.jpg",1PC Large Transparent Thickened 24 Grids Fixed Grid Plastic Storage Box - Transparent Jewelry Box | Material : Plastic Closure Type : Snap Style : Boho See all details,"This large transparent storage box features 24 grids, making it ideal for organizing small electronic components, tools, or DIY project parts. The thickened plastic construction ensures durability while allowing you to easily see the contents at a glance. Its snap closure keeps everything secure, making it perfect for both home and lab use. Whether you're a hobbyist or a professional, this storage solution will help streamline your workflow and keep your workspace tidy.","storage, organizer, plastic, transparent, grid, diy, electronics, components, tools, lab",storage box,"component organization, tool storage, jewelry making, small parts sorting",1,24 grids,₪11.82
LDQ Heat Gun,C:\Users\Royma\Downloads\Temu Items 2\ldq heat gun compact powerful european standard plug (type - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\ldq heat gun compact powerful european standard plug (type - Temu_files,"1702709750093-d891afcb5db8416aa172112c53bbb269-goods.jpeg, 1702709751278-c9b39dba73f745c5839ef9cf36383213-goods.jpeg, 1702709752775-9bd3ff75be56428bad30f07f6ad91b7b-goods.jpeg, 1702709753368-79342e1454d148d2b9484f1dca3491d9-goods.jpeg, 1702709754477-44d0544be61c4e5ab9d25baa894f29c9-goods.jpeg, 1702709754909-db04348708f2445e917448b4314c68b4-goods.jpeg, 1702709755995-dff986f1af05407a9a8180860abc8bd5-goods.jpeg, 1702709756575-dda3d6677f5646ff873449eecdd5fba9-goods.jpeg, 2ea924cf-8d33-49b3-9b81-f22ab1c0c743_300x300.png, 4f3b1b74-bfd8-4f9f-870a-a19b51fc9a79.jpg, 513c5744-7ce3-4832-8178-5c97ac1115b1.jpg, a39e35b2-f472-4e2b-ad0d-8bf8bb4dea95(1).jpg, a39e35b2-f472-4e2b-ad0d-8bf8bb4dea95.jpg, c3425794-c280-425e-a361-ddcf5eb7d242.jpg, d0ba15a1-67f1-410f-8e01-77d8c9cfb5c3(1).jpg, d0ba15a1-67f1-410f-8e01-77d8c9cfb5c3.jpg, e711a4dc-4830-4eb4-a33d-7b59e936dbf5(1).jpg, e711a4dc-4830-4eb4-a33d-7b59e936dbf5.jpg","1pc LDQ Heat Gun - Compact & Powerful with European Standard Plug (Type, Voltage 220-230V), Professional & Household Use for Shrink Wrapping, Crafts, DIY Projects, Heavy-Duty Heating Tool - Ideal for Beginners & Professionals, Ergonomic Handle Design, Textured Grip Handle, Portable Design, Sturdy Build, Craft Enthusiasts | Power Mode : Power Supply Operating Voltage : 220V (inclusive) - 230V (inclusive) Plug Type : European Standard Plug See all details and dimensions","The LDQ Heat Gun is a versatile tool perfect for both professional and DIY projects. With a compact design and ergonomic handle, it provides a comfortable grip for extended use. Operating at 220-230V with a European standard plug, this heat gun is ideal for shrink wrapping, crafting, and other heating applications. Its heavy-duty performance makes it suitable for a variety of tasks, from hobby projects to more demanding professional uses. Whether you're a beginner or an experienced craft enthusiast, this heat gun will enhance your workflow.","heat gun, diy tools, crafting, electronics, shrink wrapping, portable tools, ergonomic design, professional use",heat gun,"shrink wrapping, soldering electronics, crafting, paint removal, plastic bending",1,,₪26.99
3MM 12V Pre-wired LED Lights,C:\Users\Royma\Downloads\Temu Items 2\led 12v pre wired fixed bracket cable bulb led light - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\led 12v pre wired fixed bracket cable bulb led light - Temu_files,"2375a794c031dc2787a5431ceb949c59(1).jpg, 2375a794c031dc2787a5431ceb949c59.jpg, 28af4f1f4a114a2cf1cf9aa4a24f8839.jpg, 33d8bcf8a5677886d3f7125e367139bd.jpg, 40bf8e40-fd2a-4579-b0db-9efe4644e486_1500x1469.jpeg(1).a.jpeg, 40bf8e40-fd2a-4579-b0db-9efe4644e486_1500x1469.jpeg.a.jpeg, 48a5baeab9af076e6f9ed02c58fe7a9c.jpg, 54e22bf3-7010-48a5-b121-57081e209ea1_958x998.jpeg.a.jpeg, 643fc0d0-c818-45c6-9f9b-4eb9028ab059_1479x1500.jpeg, 6c4416d247448539c9ac29618b788e56.jpg, 85abf8e460ed91fbca665419541b0160.jpg, 86804a3c-dadc-4d54-bdf7-d4d36ec3593d_1500x1469.jpeg, a0381ec6-b034-4ddb-889c-ec02d750d9cc_800x642.png, a9ed4a01-ec7b-4610-a45b-f9772f2de25a_800x800.jpeg, d7d4299ac9046c92def2983aa6ac9928.jpg, da584cd2d6467aa0dae79d02cbd76c40.jpg, dbb622340dc4e048882fc283bd973efe.jpg","20pcs/50pcs 3MM LED 12V Pre-wired With Fixed Bracket Cable Bulb LED Light Emitting Diode, 12V DC LED Light, Mini LED Light Emitting Diode Model Combination Kit DIY,, 12 Volt Mini Single LED Bulb | Power Mode : Room electrical/hard wiring Operating Voltage : ≤36V Material : Composite Material See all details and dimensions | Details 【Specification】 High Efficiency, Durable. Energy Saving, Low Power Consumption. Type: LED Wired Light Material: Electrical Components Voltage: DC 12V Power: 0.25W Cable Length: 20.6cm/8.1inch (Approx.) LED Size: 3mm/0.12in (Approx.) 【Note】 Due To The Light And Screen Setting Difference, The Item's Color May Be Slightly Different From The Pictures. Please Allow Slight Dimension Difference Due To Different Manual Measurement. Package Includes: 20PCS/50pcs LED Wired Lights+Lamp cover","This kit includes 20 or 50 pieces of 3MM pre-wired LED lights, perfect for various DIY electronics projects. Each LED operates at 12V DC and consumes only 0.25W, making them energy-efficient and ideal for low-power applications. The fixed bracket and 20.6cm cable length provide flexibility for installation in tight spaces. Whether you're creating ambient lighting or integrating them into a larger project, these mini LEDs are a reliable choice for makers and hobbyists alike.","led, pre-wired, 12v, diy, electronics, lighting, energy-efficient, mini, components",LED light kit,"ambient lighting, model displays, DIY electronics projects, decorative lighting, robotics",20,20-50 pieces,Est.₪13.84
9V Battery Snap Connectors,C:\Users\Royma\Downloads\Temu Items 2\long 9v battery snap connectors black steel contacts red - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\long 9v battery snap connectors black steel contacts red - Temu_files,"57dc1dbb-dd61-4c23-b558-2687cdec9829_300x300.jpeg, 58d36072e2efef27280cef6cee8d8274(1).jpg, 58d36072e2efef27280cef6cee8d8274.jpg, 5bd5b1adaa2d04ececc3a3b21eb3e919(1).jpg, 5bd5b1adaa2d04ececc3a3b21eb3e919.jpg, 6bb69f23-30c3-48f6-a186-2400dfc768f0_800x800(1).jpeg, 6bb69f23-30c3-48f6-a186-2400dfc768f0_800x800.jpeg, 962a17782aa4c1bc1817d8466e5244c5(1).jpg, 962a17782aa4c1bc1817d8466e5244c5.jpg, 9952ac1ad03025a2c3ec57fca7f0e205.jpg, da973315ac29e7f1a79598466d84e480.jpg, de2faaa5ef5c62a62959e82a616a77c4.jpg, fcd974309ed756bffad29cbc1f498fb3.jpg, ff4593ed-365c-41fc-8eb9-0c33e21075ae.png.slim.png","10pcs 15cm Long 9V Battery Snap Connectors - Black Steel Contacts with Red and Black Wires, Ideal for DIY Projects and Electronics Assembly, Electronics Accessories | Snap Connector | Durable Battery Holder, Battery Operated Accessories | Item ID : DQ06888 Copy Origin : Fujian,China","This pack of 10 durable 15cm long 9V battery snap connectors is perfect for your DIY electronics projects. Each connector features black steel contacts and comes with red and black wires for easy connection. Ideal for powering various battery-operated devices, these connectors streamline your assembly process and ensure reliable performance. Whether you're building prototypes or creating custom circuits, these snap connectors are essential for any electronics enthusiast.","9v battery, snap connector, electronics, diy projects, battery holder, connectors, assembly, prototyping",battery connector set,"battery-powered circuits, custom LED projects, portable devices, DIY electronics prototypes",10,10,₪5.27
Manual Dust Blower,C:\Users\Royma\Downloads\Temu Items 2\manual dust blower computer keyboard powerful air blower - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\manual dust blower computer keyboard powerful air blower - Temu_files,"2378045e-fb6a-4f0c-ab20-13ae2cde4315_300x300.png, 26b75e9ae522cd6cc9e31fd54e908249(1).jpg, 26b75e9ae522cd6cc9e31fd54e908249.jpg, 43fbba87a69074c33c0d9915db6bf254.jpg, 6a6d80249c6597c6584f0b23d370a287.jpg, 78f4fbabc67ddb54e5d8e4e6bf875e1f.jpg, b0281ff3-146d-4fa1-982a-688bad1f664a(1).jpg, b0281ff3-146d-4fa1-982a-688bad1f664a.jpg, d1f09c6f-f5a2-46ba-900d-f5939e97246b.jpg, fcadc06194b79948220e1268112914f4.jpg, ff4593ed-365c-41fc-8eb9-0c33e21075ae.png.slim.png","Manual Dust Blower, Computer Keyboard Powerful Air Blower, For Laptop Camera And Mobile Phone Dust Removal Tool 1pc Of Cleaning Tool | Item ID : RM29384 Copy Origin : Guangdong,China","This Manual Dust Blower is an essential tool for maintaining the cleanliness of your electronics. It provides a powerful stream of air, making it ideal for removing dust from keyboards, cameras, and mobile devices. Perfect for DIY enthusiasts, this blower helps ensure your projects remain free from debris that could affect performance. Compact and easy to use, it is a must-have for any electronics lab or workspace.","dust blower, cleaning tool, electronics maintenance, air blower, manual tool, keyboard cleaner, camera care, mobile phone care",cleaning tool,"keyboard maintenance, camera cleaning, mobile device upkeep",1,,₪5.20
Mini Cordless Rotary Tool,C:\Users\Royma\Downloads\Temu Items 2\mini cordless rotary tool li 3 rotation speed - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\mini cordless rotary tool li 3 rotation speed - Temu_files,"155f1c52-6cdb-4229-9cf6-f4723fbd1fc5_300x300.jpeg, 218a61575c553807988e9233780e571a.jpg, 27842965-f82d-4ff8-be52-28c90fa38d4f.jpg, 38bafc47564e0645abc1ca233ec685ef(1).jpg, 38bafc47564e0645abc1ca233ec685ef.jpg, 4bc98fe2-0dbd-470a-8295-c7a2a0986232.png, 5bbb5092-02f0-41df-a473-4f475a1173c5.jpg, 7cb38b31-1e32-499b-8913-6a298b4a2cff(1).jpg, 7cb38b31-1e32-499b-8913-6a298b4a2cff.jpg, 8fbf9687-d7ca-4502-af08-c4def83acad9(1).jpg, 8fbf9687-d7ca-4502-af08-c4def83acad9.jpg, b7acd207-4b0c-4172-a4d8-6479387056e2.jpg, b9c95207-4afc-4a0f-b6a9-1ed7d3dbc6ac.jpg, c04c97e1bcf7a8afbfc6afaf1bde0803.jpg","1 Set Mini Cordless Rotary Tool with Li-ion Battery, 3 Rotation Speed 5000rpm-15000rpm, Portable USB Charging, Multi-Purpose Power Rotary Tool with Accessories for Grinding, Sanding, Carving, Polishing, DIY Creations | Recommended Usage : Grinding Power Supply : Battery Powered (no Plug) Battery Properties : Rechargeable Battery See all details | Warning The use of any other acssories or attachments that are not recommended in this instruction man-ual may present a risk of personal injury If the machine does not work, do not repair it yourself，Servi ·Have vour power tool servid by a qualified repair person using only identical replament parts. This will ensure that the safety of the power tool is maintained.","This Mini Cordless Rotary Tool is an essential addition to any DIY electronics lab. With a powerful Li-ion battery and three adjustable rotation speeds ranging from 5000 to 15000 RPM, it provides versatility for various tasks such as grinding, sanding, carving, and polishing. Its portable USB charging feature allows for convenient use in any workspace, making it ideal for microcontroller and embedded projects. Whether you're fine-tuning components or creating intricate designs, this tool enhances your creative capabilities.","cordless, rotary tool, mini tool, grinding, sanding, carving, polishing, rechargeable, portable, usb charging, diy",rotary tool,"custom enclosures, circuit board modifications, detailed model crafting, jewelry making, small part assembly",1,1,₪52.88
LCD1602 I2C Display Module,C:\Users\Royma\Downloads\Temu Items 2\module _yellow_green 16x2 character - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\module _yellow_green 16x2 character - Temu_files,"07948f0f-efee-4d89-872e-b01562048152(1).jpg, 07948f0f-efee-4d89-872e-b01562048152.jpg, 38989b3f-a79e-4dca-ba52-62be3bba7198(1).jpg, 38989b3f-a79e-4dca-ba52-62be3bba7198.jpg, 75c68907-a0d7-4971-8415-2a568b38489e.png, 772e1ad7-650e-44c5-b0c8-7a8469746622.jpg, 7e7c79fe-65c7-4542-8504-5b1028a59c7e(1).jpg, 7e7c79fe-65c7-4542-8504-5b1028a59c7e.jpg, 8dc71433-bfa7-4893-8119-3472cd21e087(1).png, 8dc71433-bfa7-4893-8119-3472cd21e087.png, 9f2978eb-702c-4a97-863d-32e51962b9b6(1).jpg, 9f2978eb-702c-4a97-863d-32e51962b9b6.jpg, ee1b39c1-1f5c-4be4-8c83-5411fa8e966f_300x300.jpeg, fcbcb826-a9dc-11ee-9217-0a580a68309d(1).jpg, fcbcb826-a9dc-11ee-9217-0a580a68309d.jpg","ROHS LCD1602 Module - Vibrant Blue/Yellow/Green 16x2 Character Display, Metal, Hardwired, 36V & Under, IIC I2C Interface, 8mm 3.14"" Size for Arduino Projects, Display Module|Backlit LCD|Metal Casing","The LCD1602 I2C Display Module is a versatile 16x2 character display perfect for Arduino projects. With vibrant backlighting options in blue, yellow, and green, this module enhances visibility in various lighting conditions. Its I2C interface simplifies wiring and reduces the number of pins required, making it ideal for compact designs. The robust metal casing ensures durability in DIY applications. This display is an excellent choice for projects that require user interfaces or data visualization.","lcd, display, i2c, arduino, electronics, module, character, backlit, metal, rohs",display module,"Arduino user interface, temperature display, DIY scoreboard, data logger, message board",,1,
16mm Momentary Push Button Switch R13-507,C:\Users\Royma\Downloads\Temu Items 2\momentary push button switch r13 507 self recovery reset - Temu.html,C:\Users\Royma\Downloads\Temu Items 2\momentary push button switch r13 507 self recovery reset - Temu_files,"1b0a128a7e60171d2f60edc83267f86f.jpg, 2b8d43c8c0672db99a7f856d0e0e9b8a(1).jpg, 2b8d43c8c0672db99a7f856d0e0e9b8a.jpg, 4cd297bbfd0b7a407a86c5e3ef2de35b.jpg, 61b83a40d23285e90073fa5d5b65ee49(1).jpg, 61b83a40d23285e90073fa5d5b65ee49.jpg, 67f9f4fa-6693-4115-ac89-ec360b67e166_300x300.jpeg, 6b776ffc1e325546b9edca5ccc2b2380(1).jpg, 6b776ffc1e325546b9edca5ccc2b2380.jpg, d1247405906b753d448b869b02de54a3.jpg, d2a8a609280d3b946f01b2bdc2221f26.jpg, d520644aafda0116b1e61e0c6d0c92ce.jpg, edc34637a0350144bc4df21fdf44d0c0.jpg, f1dad4d0237148e43019dfef4934705c(1).jpg, f1dad4d0237148e43019dfef4934705c.jpg",12pcs 16mm Momentary Push Button Switch R13-507 Self-Recovery Reset Button | Power Supply : Hard-Wired Acceptable Voltage Range : Below 50 V Battery Properties : Without Battery See all details | Current:3A Material:Plastic Features:momentary push button switch Model Number:R13-507 Switch Type:Push Button Switch Origin:Mainland China Item Type:Switches,"This set of 12 momentary push button switches is perfect for DIY electronics projects. Each switch features a 16mm diameter and is rated for a current of 3A, making them suitable for a variety of applications. With a self-recovery reset mechanism, these switches are ideal for creating user interfaces or control panels in your microcontroller projects. They can operate at voltages below 50V, allowing for flexibility in power supply options. The durable plastic construction ensures longevity in your setups.","momentary switch, push button, electronics, diy, microcontroller, embedded, project components, switches",push button switches,"control panel, arcade button interface, DIY alarm system, remote control, interactive display",12,12,Est.₪12.13
